index;title;description;protocol;y_true
0;inhibition of recombinant human full-length his-tagged aurora b expressed in baculovirus expression system using 5-fam-lrraslg-conh2 a substrate preincubated for 60 min followed by substrate addition by microfluidic assay;title : discovery of sp-96 , the first non-atp-competitive aurora kinase b inhibitor , for reduced myelosuppression . abstract : aurora kinase b is a serine-threonine kinase known to be overexpressed in several cancer , with no inhibitor approved for clinical use . herein , we present the discovery and optimization of a series of novel quinazoline-based aurora kinase b inhibitor . the lead inhibitor sp-96 show sub-nanomolar potency in aurora b enzymatic assay ( ic = 0.316 ± 0.031 nm ) . we identified the important pharmacophore feature resulting in selectivity against receptor tyrosine kinase . particularly , sp-96 show > 2000 fold selectivity against flt3 and kit which is important for normal hematopoiesis . this could diminish the adverse effect of neutropenia reported in the clinical trial of the aurora b inhibitor barasertib , which inhibits flt3 and kit in addition to aurora b. enzyme kinetics of sp-96 show non-atp-competitive inhibition which make it a first-in-class inhibitor . further , sp-96 show selective growth inhibition in nci60 screening , including inhibition of mda-md-468 , a triple negative breast cancer cell line .;;-1.0
1;inhibition of human intestinal ces2 expressed in baculovirus infected sf9 cell at 10 um using o-nitrophenyl acetate a substrate monitored at 15 sec interval for 5 min relative to control;title : selective inhibitor of human liver carboxylesterase based on a β-lapachone scaffold : novel reagent for reaction profiling . abstract : carboxylesterases ( ce ) are ubiquitous enzyme that are responsible for the metabolism of xenobiotics , including drug such a irinotecan and oseltamivir . inhibition of ce significantly modulates the efficacy of such agent . we report here that β-lapachone is a potent , reversible ce inhibitor with ki value in the nanomolar range . a series of amino and phenoxy analogue have been synthesized , and although the former are very poor inhibitor , the latter compound are highly effective in modulating ce activity . our data demonstrate that tautomerism of the amino derivative to the imino form likely account for their loss in biological activity . a series of n-methylated amino derivative , which are unable to undergo such tautomerism , were equal in potency to the phenoxy analogue and demonstrated selectivity for the liver enzyme hce1 . these specific inhibitor , which are active in cell culture model , will be exceptionally useful reagent for reaction profiling of esterified drug in complex biological sample .;;-1.0
2;displacement of eu-dtpa-ndp-a-msh chelate from human melanocortin-4 receptor expressed in hek293 cell after 1 hr by competitive delfia assay;title : synthesis and evaluation of bivalent ligand for binding to the human melanocortin-4 receptor . abstract : membrane protein , especially g-protein coupled receptor ( gpcrs ) , are interesting and important theragnostic target since many of them serve in intracellular signaling critical for all aspect of health and disease . the potential utility of designed bivalent ligand a targeting agent for cancer diagnosis and/or therapy can be evaluated by determining their binding to the corresponding receptor . a proof of concept , gpcr cell surface protein are shown to be targeted specifically using multivalent ligand . we designed , synthesized , and tested a series of bivalent ligand targeting the over-expressed human melanocortin 4 receptor ( hmc4r ) in human embryonic kidney ( hek ) 293 cell . based on our data suggesting an optimal linker length of 25±10å inferred from the bivalent melanocyte stimulating hormone ( msh ) agonist , the truncated heptapeptide , referred to a msh ( 7 ) : ac-ser-nle-glu-his-d-phe-arg-trp-nh2 wa used to construct a set of bivalent ligand incorporating a hmc4r antagonist , shu9119 : ac-nle-c [ asp-his-2'-d-nal-arg-trp-lys ] -nh2 and another set of bivalent ligand containing the shu9119 antagonist pharmacophore on both side of the optimized linkers . these two binding motif within the bivalent construct were conjoined by semi-rigid ( pro-gly ) 3 unit with or without the flexible poly ( ethylene glycol ) ( pego ) moiety . lanthanide-based competitive binding assay showed bivalent ligand bind to the hmc4r with up to 240-fold higher affinity than the corresponding linked monovalent ligand .;;0.0
3;binding affinity at mu opioid receptor 1 in rat brain membrane by [ 3h ] damgo displacement .;title : synthesis and biological evaluation of 14-alkoxymorphinans . 17. highly delta opioid receptor selective 14-alkoxy-substituted indolo- and benzofuromorphinans . abstract : 14-alkoxy analogue of naltrindole and naltriben differently substituted in position 5 and 17 and at the indole nitrogen ( compound 28-44 ) have been synthesized in an effort to enhance the delta potency and/or delta selectivity and in order to further elaborate on structure-activity relationship of this class of compound . introduction of a 14-alkoxy instead of the 14-hydroxy group present in naltrindole resulted in somewhat lower delta binding affinity , while in many case ( compound 31 , 34 , 37 , 40 , 41 , 44 , h 378 ) the delta receptor selectivity wa considerably increased . an ethoxy group in position 14 is superior to other alkoxy group concerning delta affinity and selectivity ( 34 , 41 , 42 , 44 , h 378 ) . in [ 35s ] gtp gamma s binding , compound 34 , 41 , and h 378 exhibited about one-tenth the antagonist potency of naltrindole at delta opioid receptor while their delta antagonist selectivity wa considerably higher . 17-methyl-substituted compound 35 and 44 were found to be pure delta receptor agonist in this test .;;0.0
4;inhibition of recombinant solanum lycopersicum ( tomato ) fatty acid 13-hydroperoxide lyase using ( 13 ) -hpot substrate by spectrophotometry;inhibition of recombinant solanum lycopersicum ( tomato ) fatty acid 13-hydroperoxide lyase using ( 13 ) -hpot substrate by spectrophotometry;;-1.0
5;inhibitory activity against phenylethanolamine n-methyl-transferase;title : importance of the aromatic ring in adrenergic amine . 5. nonaromatic analogue of phenylethanolamine a inhibitor of phenylethanolamine n-methyltransferase : role of hydrophobic and steric interaction .;;-1.0
6;displacement of [ 3h ] win-35428 ( 0.5 nm ) from dopamine transporter;title : synthesis and ligand binding of tropane ring analogue of paroxetine . abstract : ( 3s,4r ) -4- ( 4-fluorophenyl ) -3- [ [ 3,4- ( methylenedioxy ) phenoxy ] methyl ] piperidine [ ( 3s,9r ) -3 , paroxetine ] is a selective serotonin reuptake inhibitor ( ssri ) used a an antidepressant in human . in previous study , we reported that certain ( 1r ) -3 beta- ( substituted phenyl ) nortropane-2 beta-carboxylic acid methyl ester ( 2a ) exhibited high affinity and reasonable selectivity for the serotonin transporter ( 5-htt ) . the major structural difference between 2a and ( 3s,4r ) -3 are that 2a posse a different absolute stereochemistry and ha an ethylene bridge not present in 3. in addition , 2a posse a carbomethoxy substituent adjacent to the aryl ring , whereas ( 3s,4r ) -3 contains a [ 3,4- ( methylenedioxy ) phenoxy ] methyl group . in this study , we present the synthesis and biological evaluation of six of the possible eight isomer of 3- ( 4-fluorophenyl ) -2- [ [ 3,4- ( methylenedioxy ) phenoxy ] methyl ] nortropane+ ++ ( 4 ) . the data for inhibition of [ 3h ] paroxetine binding show that ( 1r ) -2 beta , 3 alpha-4c , which ha the same stereochemistry a paroxetine , ha the highest affinity at the 5-htt . strikingly , the most potent compound for inhibition of [ 3h ] win-35,428 binding were not the ( 1r ) -2 beta , 3 beta-isomers but rather ( 1r ) -2 beta , 3 alpha-4c and ( 1 ) -2 beta , 3 alpha-4f . conformational analysis show that these isomer exist in a flattened boat conformation with pseudoequatorial substituents . thus , the binding data show that this conformation is recognized by the dat-associated binding site and also suggest that this conformation of paroxetine is recognized by the 5-htt-associated binding site .;;-1.0
7;antagonist activity at prolink-tagged human cxcr6 receptor assessed a inhibition of cxcl16-induced beta-arrestin recruitment by discoverx cell based assay relative to control;title : discovery of small molecule antagonist of chemokine receptor cxcr6 that arrest tumor growth in sk-hep-1 mouse xenograft a a model of hepatocellular carcinoma . abstract : the chemokine system play an important role in mediating a proinflammatory microenvironment for tumor growth in hepatocellular carcinoma ( hcc ) . the cxcr6 receptor and it natural ligand cxcl16 are expressed at high level in hcc cell line and tumor tissue and receptor expression correlate with increased neutrophil in these tissue contributing to poor prognosis in patient . availability of pharmacologcal tool targeting the cxcr6/cxcl16 axis are needed to elucidate the mechanism whereby neutrophil are affected in the tumor environment . we report the discovery of a series of small molecule with an exo- [ 3.3.1 ] azabicyclononane core . our lead compound 81 is a potent ( ec < sub > 50 < /sub > = 40 nm ) and selective orally bioavailable small molecule antagonist of human cxcr6 receptor signaling that significantly decrease tumor growth in a 30-day mouse xenograft model of hcc .;;-1.0
8;average binding constant for map3k4 . na=not active at 10 um;title : a small molecule-kinase interaction map for clinical kinase inhibitor . abstract : kinase inhibitor show great promise a a new class of therapeutic . here we describe an efficient way to determine kinase inhibitor specificity by measuring binding of small molecule to the atp site of kinase . we have profiled 20 kinase inhibitor , including 16 that are approved drug or in clinical development , against a panel of 119 protein kinase . we find that specificity varies widely and is not strongly correlated with chemical structure or the identity of the intended target . many novel interaction were identified , including tight binding of the p38 inhibitor birb-796 to an imatinib-resistant variant of the abl kinase , and binding of imatinib to the src-family kinase lck . we also show that mutation in the epidermal growth factor receptor ( egfr ) found in gefitinib-responsive patient do not affect the binding affinity of gefitinib or erlotinib . our result represent a systematic small molecule-protein interaction map for clinical compound across a large number of related protein .;;-1.0
9;binding affinity to naaladase;title : radiofluorinated derivative of 2- ( phosphonomethyl ) pentanedioic acid a inhibitor of prostate specific membrane antigen ( psma ) for the imaging of prostate cancer . abstract : for prostate cancer , prostate specific membrane antigen ( psma ) ha been identified a a diagnostic and therapeutic target . fluorinated derivative of 2- ( phosphonomethyl ) pentanedioic acid were designed and synthesized to explore whether this fluorine-substituent is tolerated in the pentanedioic acid moiety that is common to almost all psma targeting small molecule inhibitor . the binding affinity of the racemic and individual stereoisomers of 2-fluoro-4- ( phosphonomethyl ) pentanedioic acid were determined and showed that the introduction of fluorine wa well tolerated . the radiosynthesis of the analogous 2- [ ( 18 ) f ] fluoro-4- ( phosphonomethyl ) pentanedioic acid wa developed and evaluated in vivo with the psma positive lncap human prostate cancer cell . the biological result demonstrated specific binding of the tracer to psma positive tumor in mouse . these result warrant the further evaluation of this class of compound a radiolabeled tracer for the detection and staging of prostate cancer .;;-1.0
10;induction of egfr covalent modification assessed a alkylation after 3 hr by lc/ms mass spectroscopy;title : synthesis and evaluation of aniline headgroups for alkynyl thienopyrimidine dual egfr/erbb-2 kinase inhibitor . abstract : aniline 'headgroups ' were synthesized and incorporated into an alkynyl thienopyrimidine series of egfr and erbb-2 inhibitor . potent inhibition of enzyme activity and cellular proliferation wa observed . in certain instance , protein binding wa reduced and oral exposure wa found to be somewhat improved relative to compound containing the reference aniline .;;-1.0
11;inhibition of lsd1 in human thp1 cell assessed a increase in cd86 expression incubated for 48 hr by flow cytometric analysis;title : discovery of reversible inhibitor of kdm1a efficacious in acute myeloid leukemia model . abstract : lysine-specific demethylase 1 ( lsd1 or kdm1a ) is a fad-dependent enzyme that act a a transcription corepressor or coactivator by regulating the methylation status of histone h3 lysine k4 and k9 , respectively . kdm1a represents an attractive target for cancer therapy . while , in the past , the main medicinal chemistry strategy toward kdm1a inhibition wa based on the optimization of ligand that irreversibly bind the fad cofactor within the enzyme catalytic site , we and others have also identified reversible inhibitor . herein we reported the discovery of 5-imidazolylthieno [ 3,2- < i > b < /i > ] pyrroles , a new series of kdm1a inhibitor endowed with picomolar inhibitory potency , active in cell and efficacious after oral administration in murine leukemia model .;;-1.0
12;inhibition of human recombinant faah using [ 3h ] anandamide by competitive hydrolysis assay;title : beta-lactams derived from a carbapenem chiron are selective inhibitor of human fatty acid amide hydrolase versus human monoacylglycerol lipase . abstract : a library of 30 beta-lactams ha been prepared from ( 3r,4r ) -3- [ ( r ) -1'- ( tbutyldimethylsilyloxy ) -ethyl ] -4-acetoxy-2-azetidinone , and the corresponding deacetoxy derivative , by sequential n- and o-functionalizations with various omega-alkenoyl and omega-arylalkanoyl chain . all compound were selective inhibitor of hfaah versus hmgl , and ic ( 50 ) value in the nanomolar range ( 5-14 nm ) were recorded for the best representative . from time-dependent preincubation and rapid dilution study , and from docking analysis in a homology model of the target enzyme , a reversible mechanism of inhibition of hfaah is proposed .;;-1.0
13;inhibition of [ 3h ] pcck-8 binding to cholecystokinin type a receptor of rat pancreas;title : 5- ( tryptophyl ) amino-1,3-dioxoperhydropyrido [ 1,2-c ] pyrimidine-based potent and selective cck ( 1 ) receptor antagonist : structure-activity relationship study on the central 1,3-dioxoperhydropyrido [ 1,2-c ] pyrimidine scaffold . abstract : to further define the pharmacophore of the potent and selective 5- ( tryptophyl ) amino-1,3-dioxoperhydropyrido [ 1,2-c ] pyrimidine-based cck ( 1 ) receptor antagonist the electronic and topographic property of the central 1,3-dioxoperhydro-pyrido [ 1,2-c ] pyrimidine scaffold have been modified . with this aim , the 1- and 3-oxo group have been replaced by the thioxo- and deoxi-analogues , and the fused piperidine ring ha been contracted to the corresponding pyrrolidine moiety . the result of the evaluation of the new analogue a cck receptor ligand , in rat pancreas and cerebral cortex preparation , showed that , whereas replacement of oxygen with sulfur is allowed , reduction of the 1- or 3-oxo group or the contraction of the fused piperidine ring lead to the complete loss of binding affinity at cck ( 1 ) receptor . the thioxo-analogues 5a , 8a , 12a , and 12b showed functional cck ( 1 ) antagonist activity , inhibiting the cck-8-stimulated amylase release from pancreatic acinar cell . the 1-thioxo analogue 5a , with subnanomolar affinity ( ic ( 50 ) = 0.09 x 10 ( -9 ) m ) , wa found to be the most potent and selective compound within the family of 5- ( tryptophyl ) amino-1,3-dioxoperhydropyrido [ 1,2-c ] pyrimidine-based cck ( 1 ) antagonist .;;-1.0
14;inhibition of hdac6 ( unknown origin );title : development of a selective hdac inhibitor aimed at reactivating the hiv latent reservoir . abstract : the synthesis and sar development of a trisubstituted imidazole hdac inhibitor is described . the compound were synthesized with high diastereocontrol by leveraging ellman sulfinyl imine chemistry . structural elucidation provided insight into binding mode and supported design rational . pharmacokinetic property of lead compound were determined .;;-1.0
15;inhibition of flt3 itd heterozygous mutant in human molm-13 cell assessed a cell growth inhibition after 72 hr by mt assay;title : identification of a potent 5-phenyl-thiazol-2-ylamine-based inhibitor of flt3 with activity against drug resistance-conferring point mutation . abstract : numerous flt3 inhibitor have been explored a a viable therapy for the treatment of acute myeloid leukemia ( aml ) . however , clinical data have been underwhelming due to incomplete inhibition of flt3 or the emergence of resistant mutation treated with these older agent . we previously developed a series of 3-phenyl-1h-5-pyrazolylamine derivative a highly potent and selective flt3 inhibitor with good in vivo efficacy using an intravenous ( iv ) route . however , the poor bioavailability of these pyrazole compound limit the development of these promising antileukemic compound for clinical use . herein , we describe a novel class of 5-phenyl-thiazol-2-ylamine compound that are multi-targeted flt3 inhibitor . from this class of compound , compound 7h wa very potent against aml cell line and exhibited excellent oral efficacy in aml xenograft model . in addition , further study demonstrated that compound 7h exhibited potent in vitro and in vivo activity against clinically relevant ac220 ( 3 ) -resistant kinase domain mutant of flt3-itd .;;-1.0
16;inhibition of egf-stimulated proliferation of kb cell in culture;inhibition of egf-stimulated proliferation of kb cell in culture;;-1.0
